potras,doxodsn,natdox,nalog,ssber,kvzv,dhpens
84606.51,111527.51,0.0,16770.0,8000.0,1092.614167,0
94889.06,209363.06,0.0,31200.0,70000.0,1092.614167,0
49462.12,57467.12,0.0,0.0,3000.0,613.225341,1
137574.53,241429.26,3033.42,24750.0,78000.0,1092.614167,0
60827.44,63239.21,0.0,0.0,1000.0,706.272697,1
74932.9,81228.58,0.0,0.0,3000.0,1409.267836,0
163102.19,169851.19,7014.08,0.0,5000.0,687.560537,0
114266.87,171545.31,8740.05,21000.0,33865.0,1157.777153,0
110237.38,146887.38,2427.04,13650.0,20000.0,7018.309343,0
176002.94,181088.41,9297.68,0.0,3000.0,1092.614167,0
175037.48,185637.48,0.0,0.0,10600.0,1157.777153,0
189768.21,263433.46,0.0,23400.0,47431.74,8278.122251,0
46892.38,50700.61,1500.0,0.0,1000.0,613.225341,1
63021.47,104120.47,0.0,19500.0,10000.0,674.037922,0
101759.01,110532.01,0.0,0.0,7000.0,1250.037937,0
61874.72,70578.72,5290.0,0.0,2000.0,706.272697,1
73760.18,77553.18,8469.78,0.0,2000.0,674.037922,1
112523.5,138825.44,0.0,0.0,24000.0,1092.614167,0
138230.79,240100.79,0.0,42900.0,53685.0,1157.777153,0
312052.36,244399.46,1400.0,19500.0,10000.0,1157.777153,0
111957.0,131717.0,0.0,13650.0,5000.0,1092.614167,0
109269.11,150707.11,5126.97,31200.0,2000.0,687.560537,0
136764.27,229866.62,5043.49,24343.4,61806.0,9793.830234,0
37238.86,39348.01,0.0,0.0,1000.0,613.225341,1
61494.74,71231.74,0.0,0.0,3000.0,706.272697,1
160953.06,221344.06,0.0,29250.0,25000.0,1157.777153,0
63936.87,90045.87,2200.0,0.0,20000.0,706.272697,1
84488.05,108791.84,30906.3,11310.0,10891.0,687.560537,0
93938.27,125899.13,0.0,21450.0,5000.0,1092.614167,0
60141.03,69307.03,2090.0,0.0,2000.0,706.272697,1
84277.04,87933.04,0.0,0.0,2000.0,407.029994,0
112235.94,128819.94,0.0,12000.0,2000.0,629.681339,0
101524.98,108768.98,17762.23,0.0,5000.0,396.246043,1
123518.66,148711.66,6000.0,22600.0,1000.0,396.246043,0
86932.72,91480.72,0.0,0.0,3000.0,407.029994,0
101594.74,127914.74,900.0,21400.0,3000.0,629.681339,0
42898.09,45859.09,0.0,0.0,1800.0,353.406139,1
94852.99,97394.99,19309.3,0.0,1000.0,812.171108,0
160991.43,997242.43,27360.3,20220.0,14300.0,6279.310357,0
126936.9,160533.9,0.0,28500.0,3000.0,396.246043,0
66525.6,75819.6,17891.32,0.0,1000.0,388.452863,1
162235.66,226091.66,0.0,23200.0,39000.0,629.681339,0
146615.43,175235.43,2250.0,14200.0,12800.0,667.235233,0
55321.38,60977.38,0.0,0.0,4000.0,388.452863,1
57162.98,95259.98,0.0,0.0,6000.0,388.452863,1
115755.97,169648.97,0.0,27300.0,5000.0,396.246043,0
94543.35,128999.35,0.0,13800.0,2000.0,388.452863,0
94185.23,119966.23,0.0,22200.0,2000.0,396.246043,0
48584.32,74646.32,0.0,0.0,4000.0,388.452863,1
99205.14,112725.14,2500.0,10900.0,1000.0,396.246043,0
40602.51,74143.51,0.0,0.0,2000.0,388.452863,1
87433.55,91817.55,15634.81,0.0,2000.0,407.029994,1
98767.73,134622.73,0.0,32280.0,2000.0,720.405781,0
67784.54,70515.54,8487.51,0.0,1000.0,388.452863,1
93504.05,106484.05,0.0,9000.0,1000.0,396.246043,0
132737.36,173665.36,7756.27,13200.0,26000.0,629.681339,0
120292.15,121292.15,30930.85,0.0,1000.0,646.865233,0
106795.9,134455.9,5035.89,12400.0,13700.0,396.246043,0
150035.93,191662.93,0.0,20100.0,20000.0,4044.701744,0
59404.44,63060.44,23889.56,0.0,2000.0,407.029994,1
57892.54,89583.52,9823.16,0.0,22500.0,579.174092,1
156344.26,170085.26,0.0,9750.0,2000.0,994.832055,0
103044.8,110718.47,16174.57,0.0,2500.0,590.793539,1
54644.59,56671.59,300.0,0.0,500.0,526.920249,1
66006.13,71404.13,2100.0,0.0,2500.0,579.174092,0
74697.25,79315.25,9195.24,0.0,500.0,579.174092,1
44534.77,49281.17,3459.62,0.0,300.0,526.920249,1
31020.56,44560.56,7090.27,0.0,2500.0,526.920249,1
67458.39,74721.39,19732.74,0.0,1000.0,579.174092,1
